rms_RSM_model_iid,rms_RSM_model_rdw,rms_LSTM_model_iid,rms_LSTM_model_rdw,meanRT_LSTM_model_iid,meanRT_LSTM_model_rdw
0.72,0.93,0.77,0.93,0.6115575432777405,0.502138614654541
0.25,1.0,0.29,0.98,0.5501513481140137,0.4224115014076233
0.44,0.88,0.46,0.91,0.5399842262268066,0.523630678653717
0.64,0.86,0.36,0.89,0.5472230911254883,0.48293206095695496
0.52,0.99,0.25,0.99,0.47896018624305725,0.5150888562202454
0.48,1.0,0.43,1.0,0.5786499977111816,0.47405293583869934
0.41,0.98,0.39,0.98,0.5276957154273987,0.4928494691848755
0.17,1.0,0.21,1.0,0.47879284620285034,0.49171802401542664
0.96,0.88,0.72,0.88,0.5518401265144348,0.5143707990646362
0.29,0.79,0.18,0.83,0.5989200472831726,0.5953884124755859
0.7,1.0,0.36,1.0,0.6103495359420776,0.5083516836166382
0.49,0.97,0.43,0.99,0.5725713968276978,0.5180962085723877
0.73,0.74,0.77,0.61,0.5763888359069824,0.4706214666366577
0.35,0.89,0.42,0.77,0.48368579149246216,0.44779032468795776
0.64,0.82,0.7,0.74,0.4483187794685364,0.43347084522247314
0.64,0.9,0.79,0.82,0.49908196926116943,0.47329261898994446
0.87,0.57,0.77,0.51,0.4445536136627197,0.45527419447898865
0.5,0.62,0.59,0.49,0.4448812007904053,0.4770642817020416
0.48,0.9,0.55,0.87,0.47844260931015015,0.45541927218437195
0.68,0.69,0.75,0.54,0.43347445130348206,0.5051105618476868
0.55,0.83,0.65,0.72,0.46643006801605225,0.4593263864517212
0.59,0.76,0.67,0.69,0.5501552224159241,0.4695458710193634
0.49,0.86,0.63,0.87,0.639805018901825,0.42174336314201355
0.3,0.92,0.44,0.84,0.6422776579856873,0.43121039867401123
0.59,0.65,0.67,0.45,0.5273213386535645,0.5109508037567139
0.47,0.72,0.77,0.57,0.5027609467506409,0.6155902743339539
0.56,0.84,0.74,0.79,0.5064372420310974,0.4057086706161499
0.62,0.97,0.76,0.95,0.47345858812332153,0.4417493939399719
0.32,0.97,0.41,0.92,0.5152321457862854,0.485431432723999
0.5,0.8,0.68,0.75,0.43969616293907166,0.46671736240386963
0.54,0.9,0.69,0.85,0.4639971852302551,0.3495171070098877
0.7,0.62,0.82,0.5,0.4690599739551544,0.5003288984298706
0.46,0.91,0.67,0.83,0.5061060190200806,0.4774226248264313
0.59,0.8,0.8,0.74,0.478829026222229,0.45583057403564453
0.62,0.92,0.82,0.88,0.5761898756027222,0.4294077157974243
0.55,0.89,0.79,0.85,0.4816371202468872,0.4742524027824402
0.76,0.87,0.92,0.85,0.501407265663147,0.4276444911956787
0.27,0.99,0.55,0.99,0.4321611523628235,0.41282758116722107
0.84,0.97,0.83,0.97,0.49696528911590576,0.46414074301719666
0.31,0.95,0.58,0.9,0.528582751750946,0.4309183955192566
0.74,0.69,0.86,0.63,0.4979727268218994,0.5031419396400452
0.61,0.98,0.75,0.96,0.5742412209510803,0.4372868239879608
0.44,0.72,0.73,0.63,0.5119786858558655,0.5020139813423157
0.25,1.0,0.46,1.0,0.54622483253479,0.4331638813018799
0.55,0.97,0.59,0.95,0.5449212789535522,0.4954392611980438
0.74,0.75,0.83,0.77,0.5718963742256165,0.5024174451828003
0.65,0.73,0.7,0.65,0.4856789708137512,0.5497522950172424
0.84,0.37,0.92,0.24,0.5044507384300232,0.528529167175293
0.75,0.89,0.84,0.86,0.492595374584198,0.4163563847541809
0.88,0.99,0.95,0.99,0.44009581208229065,0.3952889144420624
0.6,0.92,0.92,0.81,0.5126231908798218,0.47896039485931396
0.22,0.99,0.45,0.98,0.5064417719841003,0.3549761474132538
0.37,0.88,0.62,0.87,0.5814899802207947,0.5363397002220154
0.49,0.92,0.58,0.86,0.617228627204895,0.5957292318344116
0.48,0.96,0.53,0.95,0.5996795296669006,0.5252014398574829
0.45,1.0,0.65,1.0,0.5244553089141846,0.47622671723365784
0.34,0.96,0.63,0.98,0.5477213859558105,0.4910234212875366
0.15,1.0,0.46,1.0,0.5469728112220764,0.5065255165100098
0.91,0.83,0.89,0.76,0.5292279124259949,0.48351073265075684
0.34,0.8,0.42,0.71,0.5965873599052429,0.5724889039993286
0.64,1.0,0.62,1.0,0.5910117626190186,0.5186960697174072
0.57,0.98,0.71,0.97,0.48645687103271484,0.4930990934371948
0.82,0.84,0.82,0.86,0.4318276345729828,0.4609644412994385
0.61,0.78,0.74,0.84,0.5196220874786377,0.3769543468952179
0.85,0.96,0.81,0.94,0.49601486325263977,0.4285888373851776
0.65,0.79,0.68,0.82,0.43303191661834717,0.40508273243904114
0.88,0.84,0.92,0.88,0.5494044423103333,0.43784865736961365
0.82,0.75,0.91,0.84,0.47955918312072754,0.46403202414512634
0.93,0.87,0.94,0.89,0.5500190854072571,0.4033396244049072
0.83,0.92,0.86,0.95,0.425129234790802,0.4047553539276123
0.69,0.82,0.75,0.84,0.6522828936576843,0.498263955116272
0.69,0.93,0.78,0.95,0.4866161048412323,0.4590243995189667
0.81,0.93,0.86,0.96,0.5097736716270447,0.4975719749927521
0.59,0.87,0.75,0.9,0.42818203568458557,0.4741230010986328
0.68,0.92,0.66,0.93,0.47184818983078003,0.44708332419395447
0.97,0.97,0.94,0.99,0.4488201439380646,0.467879980802536
0.73,1.0,0.82,1.0,0.5562533736228943,0.5042553544044495
0.88,0.81,0.89,0.84,0.5430753231048584,0.5410140752792358
0.77,0.93,0.83,0.95,0.5794317126274109,0.4529087543487549
0.8,0.99,0.84,1.0,0.4749378263950348,0.4543323516845703
0.93,0.92,0.98,0.95,0.4629227817058563,0.4740235507488251
0.62,0.93,0.74,0.94,0.48829182982444763,0.46988651156425476
0.77,0.67,0.86,0.7,0.5253667831420898,0.48629552125930786
0.9,1.0,0.88,1.0,0.500922679901123,0.5081647634506226
0.48,0.9,0.48,0.93,0.5359761118888855,0.5150547623634338
0.79,0.93,0.84,0.93,0.5806281566619873,0.4897366464138031
0.78,0.87,0.91,0.92,0.4763539135456085,0.45034340023994446
0.88,0.92,0.91,0.92,0.45272770524024963,0.5152540802955627
0.92,1.0,0.88,1.0,0.4899806082248688,0.4538305401802063
0.77,0.91,0.87,0.91,0.5701384544372559,0.514145016670227
0.9,0.8,0.9,0.83,0.5872418880462646,0.4334140717983246
0.87,1.0,0.81,1.0,0.45188191533088684,0.5167762637138367
0.95,0.95,0.97,0.95,0.4203920364379883,0.48040348291397095
0.92,1.0,0.94,1.0,0.48852837085723877,0.5044739842414856
0.69,0.92,0.88,0.95,0.537650465965271,0.5996394753456116
0.97,0.91,0.96,0.91,0.4435000717639923,0.5234376788139343
0.47,0.95,0.43,0.95,0.49532103538513184,0.490335613489151
0.76,1.0,0.69,1.0,0.453830361366272,0.5694820880889893
0.54,1.0,0.48,1.0,0.5214759111404419,0.5215921998023987
0.67,1.0,0.8,1.0,0.5486677289009094,0.48902881145477295
0.93,0.99,0.95,0.99,0.5323392748832703,0.5207887291908264
0.87,1.0,0.94,1.0,0.5168255567550659,0.5352566242218018
0.54,0.87,0.61,0.93,0.5423185229301453,0.6042075157165527
0.47,1.0,0.45,1.0,0.6265721321105957,0.49375930428504944
0.96,1.0,0.94,1.0,0.5542716383934021,0.5606042742729187
1.0,1.0,1.0,1.0,0.4997132122516632,0.5377241969108582
0.57,0.97,0.72,0.95,0.6000809669494629,0.5664746761322021
0.54,1.0,0.75,1.0,0.5293822884559631,0.4716966152191162
0.72,0.99,0.74,1.0,0.5449662804603577,0.5635325908660889
0.84,0.98,0.85,0.98,0.49861472845077515,0.5830199718475342
0.83,0.97,0.83,0.98,0.6400800943374634,0.5973977446556091
0.9,0.96,0.89,0.97,0.513846218585968,0.5550638437271118
