dataset;a;v;t0;st0;precision;method;penalty;fit index;time
sim_iid_same_7.csv;0.909611;1.618942;0.370927;0.456569;3.000000;KS;0.000000;0.999788;0.032000
sim_iid_same_8.csv;0.940867;1.490886;0.313911;0.366819;3.000000;KS;0.000000;0.994951;0.025000
sim_iid_same_9.csv;0.967619;1.531540;0.322064;0.362504;3.000000;KS;0.000000;0.957946;0.030000
sim_iid_same_10.csv;0.920757;1.558844;0.327436;0.301808;3.000000;KS;0.000000;0.999837;0.020000
sim_iid_same_11.csv;0.992893;1.420019;0.290964;0.276410;3.000000;KS;0.000000;0.997766;0.019000
sim_iid_same_12.csv;0.859163;1.663758;0.328615;0.365586;3.000000;KS;0.000000;0.999535;0.020000
sim_iid_same_13.csv;0.888257;1.553048;0.323323;0.310559;3.000000;KS;0.000000;0.994792;0.023000
sim_iid_same_14.csv;0.922403;1.460264;0.339015;0.364974;3.000000;KS;0.000000;0.995808;0.024000
sim_iid_same_15.csv;0.849177;1.582962;0.375315;0.359290;3.000000;KS;0.000000;0.999873;0.030000
sim_iid_same_16.csv;0.983136;1.308958;0.312369;0.297880;3.000000;KS;0.000000;0.999534;0.029000
sim_iid_same_17.csv;0.976944;1.435459;0.304407;0.259195;3.000000;KS;0.000000;0.999360;0.020000
sim_iid_same_18.csv;1.021020;1.359210;0.298501;0.314275;3.000000;KS;0.000000;0.989595;0.029000
sim_iid_same_19.csv;0.732116;1.650142;0.371234;0.340295;3.000000;KS;0.000000;0.999990;0.024000
sim_iid_same_20.csv;0.895946;1.554046;0.342414;0.315067;3.000000;KS;0.000000;0.973148;0.023000
sim_iid_same_21.csv;1.040775;1.520090;0.306007;0.232601;3.000000;KS;0.000000;0.857962;0.024000
sim_iid_same_22.csv;0.994254;1.446911;0.320294;0.427552;3.000000;KS;0.000000;0.920691;0.052000
sim_iid_same_23.csv;0.880980;1.470661;0.343009;0.452548;3.000000;KS;0.000000;0.999990;0.020000
sim_iid_same_24.csv;0.931464;1.532117;0.328698;0.264505;3.000000;KS;0.000000;0.921722;0.022000
sim_iid_same_25.csv;0.884747;1.459561;0.348078;0.352685;3.000000;KS;0.000000;0.981488;0.024000
sim_iid_same_26.csv;1.007084;1.453227;0.271863;0.236974;3.000000;KS;0.000000;0.942103;0.020000
sim_iid_same_27.csv;1.075071;1.276041;0.322074;0.329421;3.000000;KS;0.000000;0.981747;0.025000
sim_rdw_opposite_0.csv;0.727688;2.405247;0.344681;0.238067;3.000000;KS;0.000000;0.880002;0.016000
sim_rdw_opposite_1.csv;1.019412;2.603751;0.299079;0.233398;3.000000;KS;0.000000;0.979792;0.018000
sim_rdw_opposite_2.csv;0.738876;2.631622;0.352414;0.302808;3.000000;KS;0.000000;0.999504;0.021000
sim_rdw_opposite_3.csv;0.882537;1.990511;0.324024;0.235077;3.000000;KS;0.000000;0.976192;0.020000
sim_rdw_opposite_4.csv;0.813057;2.038665;0.326446;0.177443;3.000000;KS;0.000000;0.845375;0.012000
sim_rdw_opposite_5.csv;0.935846;1.881233;0.275872;0.110332;3.000000;KS;0.000000;0.978488;0.015000
sim_rdw_opposite_6.csv;0.790622;2.387250;0.318299;0.302806;3.000000;KS;0.000000;0.998554;0.030000
sim_rdw_opposite_7.csv;0.766608;2.257656;0.349970;0.170933;3.000000;KS;0.000000;0.995996;0.014000
sim_rdw_opposite_8.csv;0.869697;1.859333;0.325479;0.146759;3.000000;KS;0.000000;0.908703;0.018000
sim_rdw_opposite_9.csv;0.893474;1.728976;0.311477;0.178576;3.000000;KS;0.000000;0.906182;0.022000
sim_rdw_opposite_10.csv;0.720151;2.095808;0.339206;0.177117;3.000000;KS;0.000000;0.838839;0.019000
sim_rdw_opposite_11.csv;0.971133;1.805027;0.275961;0.297807;3.000000;KS;0.000000;0.898165;0.021000
sim_rdw_opposite_12.csv;0.912074;1.534004;0.298780;0.172534;3.000000;KS;0.000000;0.729555;0.041000
sim_rdw_opposite_13.csv;0.834843;1.709359;0.291697;0.292768;3.000000;KS;0.000000;0.801357;0.024000
sim_rdw_opposite_14.csv;0.756248;2.055953;0.368349;0.252715;3.000000;KS;0.000000;0.983770;0.015000
sim_rdw_opposite_15.csv;0.738802;2.027459;0.363222;0.292283;3.000000;KS;0.000000;0.937689;0.016000
sim_rdw_opposite_16.csv;0.913565;1.528649;0.280114;0.160416;3.000000;KS;0.000000;0.723439;0.018000
sim_rdw_opposite_17.csv;0.688798;2.163535;0.334162;0.128233;3.000000;KS;0.000000;0.926854;0.015000
sim_rdw_opposite_18.csv;0.901241;1.609088;0.281816;0.246602;3.000000;KS;0.000000;0.854019;0.016000
sim_rdw_opposite_19.csv;0.860906;1.912319;0.295606;0.197904;3.000000;KS;0.000000;0.991540;0.014000
